id,name
168,微电子科学与工程
169,光电信息科学与工程
170,信息工程
1157,广播电视工程
1158,水声工程
1159,电子封装技术
1160,集成电路设计与集成系统
1161,医学信息工程
1162,电磁场与无线技术
1163,电波传播与天线
1164,电子信息科学与技术
1165,电信工程及管理
1166,应用电子技术教育
8387,人工智能
8693,海洋信息工程
8806,柔性电子学
8807,智能测控工程
171,自动化
1167,轨道交通信号与控制
1282,机器人工程
8388,邮政工程
8389,核电技术与控制工程
8679,智能装备与系统
8684,工业智能
8808,智能工程与创意设计
172,计算机科学与技术
173,软件工程
174,网络工程
175,信息安全
176,物联网工程
177,数字媒体技术
1168,智能科学与技术
1169,空间信息与数字技术
1170,电子与计算机工程
1283,数据科学与大数据技术
1284,网络空间安全
8390,新媒体技术
8391,电影制作
8392,保密技术
8694,服务科学与工程
8696,虚拟现实技术
8708,区块链工程
8809,密码科学与技术
178,土木工程
179,建筑环境与能源应用工程
180,给排水科学与工程
181,建筑电气与智能化
1171,城市地下空间工程
1172,道路桥梁与渡河工程
1285,铁道工程
8393,智能建造
8394,土木、水利与海洋工程
8686,土木、水利与交通工程
8810,城市水系统工程
9332,智能建造与智慧交通
182,水利水电工程
183,水文与水资源工程
184,港口航道与海岸工程
1173,水务工程
1286,水利科学与工程
9333,智慧水利
185,测绘工程
186,遥感科学与技术
1174,导航工程
1175,地理国情监测
1287,地理空间信息工程
187,化学工程与工艺
188,制药工程
1176,资源循环科学与工程
1177,能源化学工程
1178,化学工程与工业生物工程
8395,化工安全工程
8396,涂料工程
8397,精细化工
189,地质工程
190,勘查技术与工程
191,资源勘查工程
1179,地下水科学与工程
8706,旅游地学与规划工程
9334,智能地球探测
9335,资源环境大数据工程
192,采矿工程
193,石油工程
194,矿物加工工程
195,油气储运工程
1180,矿物资源工程
1181,海洋油气工程
8811,智能采矿工程
9336,碳储科学与工程
196,纺织工程
197,服装设计与工程
1182,非织造材料与工程
1183,服装设计与工艺教育
8398,丝绸设计与工程
198,轻化工程
199,包装工程
200,印刷工程
8399,香料香精技术与工程
8400,化妆品技术与工程
9337,生物质能源与材料
201,交通运输
202,交通工程
203,航海技术
204,轮机工程
205,飞行技术
1184,交通设备与控制工程
1185,救助与打捞工程
1186,船舶电子电气工程
8401,轨道交通电气与控制
8402,邮轮工程与管理
8812,智慧交通
9338,智能运输工程
206,船舶与海洋工程
1187,海洋工程与技术
1188,海洋资源开发技术
8403,海洋机器人
9339,智慧海洋技术
207,航空航天工程
208,飞行器设计与工程
209,飞行器制造工程
210,飞行器动力工程
211,飞行器环境与生命保障工程
1189,飞行器质量与可靠性
1190,飞行器适航技术
1288,飞行器控制与信息工程
8404,无人驾驶航空器系统工程
8813,智能飞行器技术
9340,空天智能电推进技术
9785,飞行器运维工程
212,武器系统与工程
213,武器发射工程
214,探测制导与控制技术
215,弹药工程与爆炸技术
216,特种能源技术与工程
217,装甲车辆工程
218,信息对抗技术
8691,智能无人系统技术
219,核工程与核技术
220,辐射防护与核安全
221,工程物理
222,核化工与核燃料工程
223,农业工程
224,农业机械化及其自动化
225,农业电气化
226,农业建筑环境与能源工程
227,农业水利工程
8405,土地整治工程
8680,农业智能装备工程
228,森林工程
229,木材科学与工程
230,林产化工
8406,家具设计与工程
9341,木结构建筑与材料
231,环境科学与工程
232,环境工程
233,环境科学
234,环境生态工程
1191,环保设备工程
1192,资源环境科学
1193,水质科学与技术
235,生物医学工程
1194,假肢矫形工程
8407,临床工程技术
8702,康复工程
236,食品科学与工程
237,食品质量与安全
238,粮食工程
239,乳品工程
240,酿酒工程
1195,葡萄与葡萄酒工程
1196,食品营养与检验教育
1197,烹饪与营养教育
8408,食品安全与检测
8690,食品营养与健康
8697,食用菌科学与工程
8709,白酒酿造工程
241,建筑学
242,城乡规划
243,风景园林
1198,历史建筑保护工程
8409,人居环境科学与技术
8685,城市设计
8695,智慧建筑与建造
244,安全工程
8410,应急技术与管理
8411,职业卫生工程
9786,安全生产监管
245,生物工程
1199,生物制药
8683,合成生物学
246,刑事科学技术
247,消防工程
1200,交通管理工程
1201,安全防范工程
1202,公安视听技术
1203,抢险救援指挥与技术
1204,火灾勘查
1205,网络安全与执法
1206,核生化消防
1289,海警舰艇指挥与技术
8412,数据警务技术
8814,食品药品环境犯罪侦查技术
9791,未来机器人
248,农学
249,园艺
250,植物保护
251,植物科学与技术
252,种子科学与工程
253,设施农业科学与工程
1207,茶学
1208,烟草
1209,应用生物科学
1210,农艺教育
1211,园艺教育
8688,智慧农业
8699,菌物科学与工程
8700,农药化肥
8815,生物农药科学与工程
9342,生物育种科学
254,农业资源与环境
255,野生动物与自然保护区管理
256,水土保持与荒漠化防治
8681,生物质科学与工程
8816,土地科学与技术
9343,湿地保护与恢复
9787,国家公园建设与管理
257,动物科学
1212,蚕学
1213,蜂学
8413,经济动物学
8414,马业科学
8817,饲料工程
8818,智慧牧业科学与工程
258,动物医学
259,动物药学
1214,动植物检疫
8415,实验动物学
8416,中兽医学
8819,兽医公共卫生
260,林学
261,园林
262,森林保护
8417,经济林
9344,智慧林业
263,水产养殖学
264,海洋渔业科学与技术
265,草业科学
8710,草坪科学与工程
266,基础医学
1290,生物医学
1291,生物医学科学
267,临床医学
1216,麻醉学
1217,医学影像学
1218,眼视光医学
1219,精神医学
1220,放射医学
1252,儿科学
268,口腔医学
269,预防医学
270,食品卫生与营养学
1221,妇幼保健医学
1222,卫生监督
1223,全球健康学
8820,运动与公共健康
271,中医学
272,针灸推拿学
273,藏医学
274,蒙医学
275,维医学
276,壮医学
277,哈医学
1293,回医学
8418,中医康复学
8419,中医养生学
8420,中医儿科学
8421,中医骨伤科学
278,中西医临床医学
279,药学
280,药物制剂
1224,临床药学
1225,药事管理
1226,药物分析
1227,药物化学
1228,海洋药学
8422,化妆品科学与技术
281,中药学
282,中药资源与开发
1231,中药制药
1232,中草药栽培与鉴定
283,法医学
284,医学检验技术
285,医学实验技术
286,医学影像技术
287,眼视光学
288,康复治疗学
289,口腔医学技术
290,卫生检验与检疫
1233,听力与言语康复学
8423,康复物理治疗
8424,康复作业治疗
8425,智能医学工程
8821,生物医药数据科学
8822,智能影像工程
9792,医工学
291,护理学
8426,助产学
292,管理科学
293,信息管理与信息系统
294,工程管理
295,房地产开发与管理
296,工程造价
1234,保密管理
8427,邮政管理
8428,大数据管理与应用
8429,工程审计
8430,计算金融
8687,应急管理
297,工商管理
298,市场营销
299,会计学
300,财务管理
301,国际商务
302,人力资源管理
303,审计学
304,资产评估
305,物业管理
306,文化产业管理
1235,劳动关系
1236,体育经济与管理
1237,财务会计教育
1238,市场营销教育
8431,零售业管理
8823,创业管理
9345,海关稽查
307,农林经济管理
308,农村区域发展
9788,乡村治理
309,公共事业管理
310,行政管理
311,劳动与社会保障
312,土地资源管理
313,城市管理
1239,海关管理
1240,交通管理
1241,海事管理
1242,公共关系学
1254,健康服务与管理
8432,海警后勤管理
8433,医疗产品管理
8698,医疗保险
8759,养老服务管理
8824,海关检验检疫安全
8825,海外安全管理
8826,自然资源登记与管理
9346,慈善管理
9789,航空安防管理
9790,无障碍管理
314,图书馆学
315,档案学
316,信息资源管理
317,物流管理
318,物流工程
1243,采购管理
8434,供应链管理
319,工业工程
1244,标准化工程
1245,质量管理工程
320,电子商务
1246,电子商务及法律
321,旅游管理
322,酒店管理
323,会展经济与管理
1247,旅游管理与服务教育
324,艺术史论
8435,艺术管理
8827,非物质文化遗产保护
325,音乐表演
326,音乐学
327,作曲与作曲技术理论
328,舞蹈表演
329,舞蹈学
330,舞蹈编导
8437,航空服务艺术与管理
8438,流行音乐
8439,音乐治疗
8440,流行舞蹈
331,表演
332,戏剧学
333,电影学
334,戏剧影视文学
335,广播电视编导
336,戏剧影视导演
337,戏剧影视美术设计
338,录音艺术
339,播音与主持艺术
340,动画
1248,影视摄影与制作
8441,影视技术
8442,戏剧教育
9347,曲艺
9348,音乐剧
341,美术学
342,绘画
343,雕塑
344,摄影
1249,书法学
1250,中国画
1294,实验艺术
1295,跨媒体艺术
8443,文物保护与修复
8444,漫画
8828,纤维艺术
9349,科技艺术
345,艺术设计学
346,视觉传达设计
347,环境设计
348,产品设计
349,服装与服饰设计
350,公共艺术
351,工艺美术
352,数字媒体艺术
1251,艺术与科技
1253,陶瓷艺术设计
8445,新媒体艺术
8446,包装设计
9350,珠宝首饰设计与工艺
354,种子生产与经营
8905,作物生产与经营管理
356,现代农业技术
358,生态农业技术
359,园艺技术
360,植物保护与检疫技术
8906,茶叶生产与加工技术
8907,中草药栽培与加工技术
8908,烟草栽培与加工技术
8909,饲草生产技术
8910,食用菌生产与加工技术
355,设施农业与装备
8911,现代农业装备应用技术
365,农产品加工与质量检测
8912,绿色食品生产技术
368,农产品流通与管理
364,棉花加工与经营管理
8913,休闲农业经营与管理
9147,现代农业经济管理
8914,农村新型经济组织管理
372,林业技术
373,园林技术
395,草业技术
8915,花卉生产与花艺
375,经济林培育与利用
8916,森林和草原资源保护
8917,林草生态保护与修复
9148,野生动植物资源保护与利用
8918,自然保护地建设与管理
8919,森林生态旅游与康养
9149,林业信息技术应用
8920,木业智能装备应用技术
8921,木业产品设计与制造
384,畜牧兽医
8922,中兽医
8923,宠物医疗技术
387,动物防疫与检疫
8924,畜禽智能化养殖
9150,特种动物养殖技术
389,宠物养护与驯导
8925,动物营养与饲料
394,蚕桑技术
398,水产养殖技术
399,海洋渔业技术
400,水族科学与技术
401,水生动物医学
403,国土资源调查与管理
404,地质调查与矿产普查
