school_id,name
140,清华大学
31,北京大学
114,浙江大学
125,上海交通大学
132,复旦大学
111,南京大学
66,中国科学技术大学
127,华中科技大学
42,武汉大学
330,西安交通大学
104,中山大学
99,四川大学
34,哈尔滨工业大学
47,北京航空航天大学
109,东南大学
143,北京理工大学
73,同济大学
46,中国人民大学
52,北京师范大学
59,南开大学
573,北京协和医学院
60,天津大学
126,山东大学
123,中南大学
102,厦门大学
107,西北工业大学
105,华南理工大学
122,吉林大学
661,电子科技大学
44,湖南大学
557,中国农业大学
131,华东师范大学
138,大连理工大学
2941,南方科技大学
119,重庆大学
130,上海财经大学
144,北京科技大学
112,南京理工大学
77,南京航空航天大学
134,东北大学
57,西安电子科技大学
97,兰州大学
118,苏州大学
417,华中农业大学
38,北京交通大学
133,华东理工大学
3151,上海科技大学
584,首都医科大学
62,郑州大学
566,中央财经大学
420,华中师范大学
168,南京医科大学
76,上海大学
124,哈尔滨工程大学
960,南方医科大学
106,暨南大学
569,中国政法大学
53,对外经济贸易大学
113,南京农业大学
832,中国石油大学（北京）
142,东北师范大学
128,武汉理工大学
51,西南交通大学
110,中国矿业大学
48,北京邮电大学
3202,香港中文大学（深圳）
115,南京师范大学
121,中国地质大学（武汉）
86,江南大学
116,河海大学
61,中国海洋大学
30,北京工业大学
429,哈尔滨医科大学
556,北京化工大学
37,西北大学
101,西南财经大学
120,中国石油大学（华东）
334,陕西师范大学
78,天津医科大学
414,中南财经政法大学
284,深圳大学
108,南昌大学
242,浙江工业大学
230,中国医科大学
830,中国地质大学（北京）
934,西南大学
103,福州大学
332,西北农林科技大学
831,华北电力大学
1006,中国矿业大学（北京）
135,东华大学
170,江苏大学
98,华南师范大学
39,北京外国语大学
35,云南大学
173,扬州大学
43,北京林业大学
558,中国传媒大学
49,北京中医药大学
63,合肥工业大学
240,宁波大学
171,南京工业大学
160,南京邮电大学
58,湖南师范大学
36,长安大学
589,首都师范大学
166,南京信息工程大学
159,杭州电子科技大学
385,湘潭大学
287,华南农业大学
251,温州医科大学
599,燕山大学
473,福建师范大学
96,广西大学
117,中国药科大学
293,广州大学
136,上海外国语大学
310,上海中医药大学
459,河南大学
33,大连海事大学
178,重庆医科大学
241,浙江师范大学
286,广东工业大学
295,广州医科大学
229,东北财经大学
307,上海理工大学
3039,上海纽约大学
262,山西大学
581,外交学院
67,安徽大学
45,中央民族大学
622,山东师范大学
41,河北工业大学
499,青岛大学
139,太原理工大学
935,贵州大学
169,南京林业大学
311,上海师范大学
1007,武汉科技大学
32,内蒙古大学
243,浙江理工大学
419,东北林业大学
468,福建农林大学
175,江西财经大学
1216,宁波诺丁汉大学
349,西安理工大学
504,海南大学
174,江西师范大学
137,东北农业大学
596,河北医科大学
389,长沙理工大学
351,西安建筑科技大学
425,湖北大学
162,南京中医药大学
342,昆明理工大学
219,大连医科大学
167,江苏师范大学
875,首都经济贸易大学
537,山东科技大学
50,辽宁大学
268,西南石油大学
252,杭州师范大学
54,河北大学
357,陕西科技大学
314,安徽师范大学
572,北京建筑大学
465,华侨大学
323,华东政法大学
283,汕头大学
74,新疆大学
161,江苏科技大学
199,石河子大学
592,北京语言大学
247,中国计量大学
72,安徽医科大学
462,河南农业大学
184,重庆邮电大学
1020,福建医科大学
433,湖北工业大学
228,沈阳农业大学
100,四川农业大学
257,浙江工商大学
434,武汉工程大学
542,山东农业大学
379,长春理工大学
79,天津师范大学
180,西南政法大学
544,宁夏大学
421,黑龙江大学
392,湖南农业大学
156,常州大学
289,广州中医药大学
324,上海体育大学
249,浙江农林大学
595,河北师范大学
833,河南师范大学
232,成都理工大学
80,天津工业大学
256,温州大学
290,广东外语外贸大学
547,齐鲁工业大学
570,北京工商大学
531,广西师范大学
530,广西医科大学
787,南通大学
70,安徽农业大学
71,济南大学
384,吉林农业大学
250,浙江中医药大学
432,武汉纺织大学
177,南昌航空大学
460,河南科技大学
309,上海海洋大学
89,天津中医药大学
1343,西交利物浦大学
165,江西理工大学
510,曲阜师范大学
3251,深圳北理莫斯科大学
352,西安科技大学
471,集美大学
164,南京财经大学
431,三峡大学
561,北方工业大学
69,安徽工业大学
129,延边大学
258,浙江财经大学
495,西北师范大学
157,华东交通大学
463,河南理工大学
271,山西医科大学
313,上海海事大学
225,辽宁师范大学
318,上海对外经贸大学
507,青岛科技大学
598,河北农业大学
277,中北大学
82,天津科技大学
428,长江大学
172,江西农业大学
388,湖南科技大学
344,云南师范大学
176,东华理工大学
151,南京审计大学
546,宁夏医科大学
264,成都中医药大学
391,南华大学
363,西安邮电大学
248,浙江海洋大学
1275,北京师范大学-香港浸会大学联合国际学院
1018,重庆交通大学
227,沈阳工业大学
423,中南民族大学
265,四川师范大学
517,内蒙古农业大学
81,天津理工大学
483,兰州理工大学
317,上海电力大学
68,安徽理工大学
594,国际关系学院
209,沈阳航空航天大学
401,中南林业科技大学
367,青海大学
263,西南科技大学
879,北京信息科技大学
540,山东理工大学
576,中国人民公安大学
466,河南工业大学
565,北京电子科技学院
2614,北京第二外国语学院
163,苏州科技大学
446,东北石油大学
535,山东财经大学
84,天津财经大学
308,上海工程技术大学
1062,哈尔滨师范大学
509,青岛理工大学
554,烟台大学
306,佛山科学技术学院
866,北京体育大学
464,华北水利水电大学
491,青岛农业大学
269,山西农业大学
335,安徽财经大学
607,石家庄铁道大学
426,哈尔滨理工大学
492,甘肃农业大学
244,嘉兴学院
511,海南师范大学
402,湖南中医药大学
253,湖州师范学院
436,武汉轻工大学
187,重庆理工大学
234,新疆医科大学
488,兰州交通大学
555,鲁东大学
274,西南医科大学
532,桂林电子科技大学
158,徐州医科大学
376,西北政法大学
266,西华师范大学
578,北京农学院
364,西藏大学
211,大连工业大学
179,重庆师范大学
322,安徽建筑大学
2491,成都大学
494,聊城大学
1142,山东中医药大学
270,成都信息工程大学
55,河北科技大学
528,山东建筑大学
873,河南中医药大学
316,安徽工程大学
291,东莞理工学院
354,西安石油大学
146,南京工程学院
212,沈阳建筑大学
189,赣南师范大学
361,西安工业大学
458,郑州轻工业大学
272,山西师范大学
226,沈阳药科大学
590,北京印刷学院
519,内蒙古师范大学
551,山东第一医科大学
370,青海师范大学
221,沈阳师范大学
215,沈阳化工大学
482,新乡医学院
218,大连大学
2380,浙大宁波理工学院
315,上海应用技术大学
338,合肥学院
1061,厦门理工学院
185,江西中医药大学
223,辽宁石油化工大学
533,桂林理工大学
441,黑龙江中医药大学
398,湖南工业大学
393,东北电力大学
514,贵州师范大学
213,辽宁工业大学
88,中国民航大学
876,信阳师范大学
390,吉林师范大学
430,江汉大学
481,中原工学院
496,临沂大学
1011,上海政法学院
255,绍兴文理学院
336,延安大学
575,北京联合大学
302,广东财经大学
154,盐城工学院
580,北京石油化工学院
231,西南民族大学
786,辽宁工程技术大学
2379,浙大城市学院
490,河南财经政法大学
597,华北理工大学
205,辽宁中医药大学
358,西安工程大学
381,长春工业大学
197,井冈山大学
245,西华大学
347,昆明医科大学
655,上海海关学院
602,河北工程大学
427,黑龙江八一农垦大学
275,山西财经大学
518,遵义医科大学
214,渤海大学
220,大连交通大学
1024,安庆师范大学
183,景德镇陶瓷大学
525,内蒙古医科大学
152,淮阴工学院
386,吉首大学
396,湖南理工学院
586,北京物资学院
246,浙江科技学院
278,太原科技大学
1009,重庆科技学院
217,沈阳理工大学
437,湖北中医药大学
541,南宁师范大学
1073,重庆工商大学
328,淮北师范大学
476,闽南师范大学
438,湖北医药学院
1189,宁波工程学院
508,内蒙古工业大学
404,长春中医药大学
216,大连外国语大学
235,新疆师范大学
233,新疆农业大学
1048,金陵科技学院
867,南昌工程学院
1182,常熟理工学院
1064,淮阴师范学院
191,长江师范学院
